                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0433,                0.91818,                 1.3726,                0.89258,                0.85782,                0.91189,                0.64517,                  1.052,                0.69202,                 1.4478,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0254,                0.89087,                 1.3613,                0.84858,                 0.8502,                0.89988,                 0.6444,                 1.0453,                0.70236,                 1.4459,               0.000812,               0.000812,               0.000812
                     63,                 1.0167,                0.89175,                  1.368,                0.88318,                0.84176,                0.90626,                0.64758,                 1.0392,                 0.6741,                  1.438,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0127,                0.88234,                 1.3596,                0.88269,                0.87652,                0.91649,                0.64596,                  1.036,                 0.6541,                 1.4269,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0088,                0.87515,                  1.357,                0.89352,                0.86032,                0.91456,                0.65535,                 1.0185,                0.65903,                 1.4229,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0074,                0.86524,                 1.3578,                0.93377,                0.82766,                 0.9146,                0.65451,                  1.023,                0.66597,                  1.421,              0.0007328,              0.0007328,              0.0007328
                     67,                0.99892,                0.85213,                 1.3543,                0.86845,                0.87449,                0.91002,                0.65677,                 1.0072,                0.65806,                   1.42,               0.000713,               0.000713,               0.000713
                     68,                  1.006,                0.86643,                  1.352,                0.89807,                0.85628,                0.91018,                0.66009,                 1.0081,                0.66435,                 1.4018,              0.0006932,              0.0006932,              0.0006932
                     69,                0.99189,                0.84463,                 1.3421,                    0.9,                 0.8563,                 0.9232,                0.66551,                 1.0084,                0.64483,                 1.4005,              0.0006734,              0.0006734,              0.0006734
                     70,                0.98711,                0.86316,                 1.3444,                0.90007,                0.83869,                0.90447,                0.65878,                0.99106,                0.63702,                 1.3943,              0.0006536,              0.0006536,              0.0006536
                     71,                0.99654,                0.86134,                 1.3447,                0.86689,                0.86437,                0.90895,                0.66331,                0.98428,                0.64651,                 1.3854,              0.0006338,              0.0006338,              0.0006338
                     72,                0.97648,                0.84347,                 1.3416,                 0.8939,                0.85223,                0.91149,                0.66564,                0.98612,                0.65578,                 1.3901,               0.000614,               0.000614,               0.000614
                     73,                0.98492,                0.83466,                 1.3367,                0.88259,                 0.8583,                 0.9078,                0.66939,                0.98934,                 0.6346,                 1.3886,              0.0005942,              0.0005942,              0.0005942
                     74,                0.96962,                 0.8243,                 1.3263,                0.88022,                0.84788,                0.90985,                0.65644,                 1.0152,                0.63986,                 1.4128,              0.0005744,              0.0005744,              0.0005744
                     75,                0.98949,                 0.8435,                 1.3379,                0.89548,                0.84985,                0.91037,                0.67006,                0.98497,                0.61558,                 1.3853,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.9621,                0.82623,                 1.3225,                0.87841,                0.86235,                0.90871,                0.66814,                0.98804,                0.61655,                 1.3881,              0.0005348,              0.0005348,              0.0005348
                     77,                0.95012,                 0.8079,                 1.3176,                0.88119,                 0.8664,                0.90989,                0.66547,                0.97073,                0.61752,                 1.3695,               0.000515,               0.000515,               0.000515
                     78,                0.96415,                0.81224,                 1.3203,                0.86005,                0.88327,                0.90738,                0.67222,                0.97801,                  0.618,                 1.3758,              0.0004952,              0.0004952,              0.0004952
                     79,                0.95523,                0.81258,                 1.3127,                0.89141,                0.84748,                0.91368,                0.67508,                0.96443,                0.62322,                 1.3622,              0.0004754,              0.0004754,              0.0004754
                     80,                0.95372,                0.80297,                 1.3162,                0.88782,                0.86511,                0.91052,                0.67545,                0.97031,                0.61329,                 1.3788,              0.0004556,              0.0004556,              0.0004556
                     81,                0.95195,                0.79961,                 1.3151,                0.89424,                0.86032,                  0.914,                0.67669,                0.96658,                 0.6097,                 1.3728,              0.0004358,              0.0004358,              0.0004358
                     82,                0.93456,                0.78423,                 1.3066,                 0.8782,                0.86111,                0.91669,                0.68195,                0.96016,                0.60996,                 1.3571,               0.000416,               0.000416,               0.000416
                     83,                0.94033,                0.78315,                 1.3151,                0.88299,                0.86235,                0.91962,                0.69205,                0.95702,                0.59644,                 1.3595,              0.0003962,              0.0003962,              0.0003962
                     84,                0.92643,                0.77439,                 1.3012,                 0.8784,                0.87247,                0.91909,                0.69438,                0.92956,                 0.5985,                 1.3463,              0.0003764,              0.0003764,              0.0003764
                     85,                0.93395,                0.77838,                 1.3054,                 0.8967,                0.86032,                0.92009,                0.69124,                 0.9419,                 0.6021,                 1.3445,              0.0003566,              0.0003566,              0.0003566
                     86,                0.92398,                0.77057,                 1.2916,                0.86883,                0.87247,                 0.9165,                0.69073,                0.93324,                0.60246,                 1.3337,              0.0003368,              0.0003368,              0.0003368
                     87,                0.91597,                0.77669,                 1.2985,                0.88352,                0.87449,                0.91849,                0.68621,                 0.9532,                  0.603,                 1.3577,               0.000317,               0.000317,               0.000317
                     88,                0.92206,                0.76851,                 1.2917,                0.89606,                0.86235,                 0.9176,                0.68687,                 0.9515,                0.59703,                 1.3515,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91484,                 0.7643,                 1.2864,                 0.8949,                0.86185,                 0.9192,                0.68333,                0.96937,                0.60878,                 1.3629,              0.0002774,              0.0002774,              0.0002774
                     90,                  0.913,                0.76286,                 1.2922,                0.90175,                0.85462,                0.92232,                0.68332,                0.95388,                0.60018,                 1.3578,              0.0002576,              0.0002576,              0.0002576
                     91,                0.83866,                0.56817,                 1.2854,                0.91698,                0.85425,                0.91864,                0.68254,                0.96049,                0.59517,                 1.3491,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.8255,                0.53386,                  1.274,                  0.895,                0.88002,                0.92591,                0.69342,                0.94957,                0.57902,                 1.3508,               0.000218,               0.000218,               0.000218
                     93,                0.81886,                0.53337,                 1.2657,                  0.893,                0.87852,                0.92384,                0.69064,                0.94113,                0.58393,                 1.3363,              0.0001982,              0.0001982,              0.0001982
                     94,                0.80504,                0.52291,                 1.2562,                0.89486,                0.87864,                0.92415,                0.69528,                0.93391,                0.58105,                 1.3338,              0.0001784,              0.0001784,              0.0001784
                     95,                0.79218,                0.50641,                  1.246,                0.89101,                0.89069,                0.92431,                0.70089,                0.93129,                 0.5838,                 1.3283,              0.0001586,              0.0001586,              0.0001586
                     96,                0.79076,                0.51451,                 1.2463,                0.90176,                0.89191,                0.92364,                0.70028,                0.92105,                0.57763,                 1.3191,              0.0001388,              0.0001388,              0.0001388
                     97,                0.78757,                0.49756,                 1.2564,                0.89744,                0.88866,                0.92229,                0.70224,                0.92227,                0.57354,                 1.3222,               0.000119,               0.000119,               0.000119
                     98,                0.77814,                0.50039,                 1.2407,                0.89927,                 0.8855,                0.92417,                0.70194,                0.92634,                 0.5776,                 1.3257,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.78249,                0.48785,                 1.2457,                0.90053,                0.88664,                0.92432,                0.70001,                0.92418,                  0.576,                 1.3243,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.77038,                0.49154,                 1.2428,                0.90304,                0.88259,                0.92253,                0.69778,                0.92206,                0.57831,                 1.3241,               5.96e-05,               5.96e-05,               5.96e-05
