                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.75393,                 0.7174,                 1.0198,                0.70945,                0.67901,                  0.679,                0.54086,                 1.3452,                  1.429,                 1.3867,             0.00042925,             0.00042925,             0.00042925
                     78,                0.72579,                0.70088,                 1.0071,                0.72222,                0.68112,                 0.6846,                0.54591,                 1.3509,                 1.4254,                 1.4064,             0.00041275,             0.00041275,             0.00041275
                     79,                  0.751,                0.71399,                  1.011,                0.72755,                0.67465,                0.68338,                0.54879,                 1.3484,                 1.4273,                  1.399,             0.00039625,             0.00039625,             0.00039625
                     80,                0.73243,                0.70045,                 1.0058,                0.69857,                 0.7046,                0.69027,                 0.5516,                  1.352,                  1.433,                 1.4023,             0.00037974,             0.00037974,             0.00037974
                     81,                0.73086,                0.68369,                 1.0011,                0.69607,                0.71441,                0.69373,                0.55622,                 1.3423,                 1.4207,                 1.4014,             0.00036324,             0.00036324,             0.00036324
                     82,                0.73425,                0.68428,                 1.0048,                0.72431,                0.67813,                 0.6907,                0.55338,                 1.3338,                 1.4356,                 1.3915,             0.00034674,             0.00034674,             0.00034674
                     83,                0.71699,                0.67516,                 1.0028,                0.71164,                0.70396,                0.69666,                0.56059,                 1.3363,                 1.4215,                 1.3847,             0.00033023,             0.00033023,             0.00033023
                     84,                0.72892,                0.69048,                 1.0033,                0.69117,                0.69202,                0.68212,                0.55058,                 1.3284,                 1.4075,                 1.3801,             0.00031373,             0.00031373,             0.00031373
                     85,                 0.7105,                0.66561,                0.99479,                0.71498,                0.68946,                0.69127,                0.55692,                 1.3434,                 1.4194,                 1.4022,             0.00029723,             0.00029723,             0.00029723
                     86,                0.70922,                0.66308,                0.99613,                0.69424,                0.68773,                0.68519,                0.55292,                 1.3368,                 1.4209,                 1.3956,             0.00028072,             0.00028072,             0.00028072
                     87,                0.71208,                0.66236,                0.99397,                0.68294,                 0.7014,                0.67876,                0.54476,                 1.3418,                  1.423,                 1.3977,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.7151,                0.66605,                0.99656,                0.69055,                0.70288,                0.68184,                0.54793,                 1.3472,                 1.4177,                 1.4093,             0.00024772,             0.00024772,             0.00024772
                     89,                0.70415,                0.65668,                0.99269,                0.71612,                0.67725,                0.68666,                0.55226,                 1.3424,                 1.4277,                 1.4069,             0.00023121,             0.00023121,             0.00023121
                     90,                0.69698,                   0.64,                0.98496,                0.71879,                0.69756,                0.69662,                0.55746,                 1.3582,                  1.399,                 1.4054,             0.00021471,             0.00021471,             0.00021471
                     91,                0.67918,                0.59839,                0.96486,                 0.7109,                0.68833,                0.68923,                0.55422,                 1.3498,                  1.415,                 1.3951,             0.00019821,             0.00019821,             0.00019821
                     92,                0.67688,                0.58136,                0.97889,                0.70169,                0.68087,                  0.676,                0.54881,                 1.3437,                 1.4446,                 1.4035,              0.0001817,              0.0001817,              0.0001817
                     93,                0.66309,                0.56441,                0.95878,                0.73422,                0.67981,                0.68667,                0.56077,                 1.3394,                 1.4121,                 1.3923,              0.0001652,              0.0001652,              0.0001652
                     94,                0.64899,                0.54303,                0.95337,                 0.6996,                0.68812,                0.68656,                0.55743,                 1.3426,                 1.4227,                  1.406,              0.0001487,              0.0001487,              0.0001487
                     95,                0.65166,                0.55066,                0.95521,                0.71823,                0.69023,                0.69359,                0.56276,                 1.3464,                 1.4106,                 1.4076,             0.00013219,             0.00013219,             0.00013219
                     96,                0.65316,                0.54564,                0.95503,                0.73662,                0.67938,                0.69086,                0.56532,                 1.3373,                 1.4142,                 1.4018,             0.00011569,             0.00011569,             0.00011569
                     97,                0.63521,                0.52961,                  0.948,                0.72291,                0.68421,                0.69332,                0.56837,                 1.3358,                 1.4197,                 1.4036,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.63483,                0.53001,                0.94785,                0.72341,                0.69208,                0.69284,                0.56702,                 1.3449,                 1.4206,                 1.4153,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.63729,                0.52373,                0.94829,                0.72101,                0.68087,                 0.6893,                 0.5665,                 1.3393,                 1.4395,                 1.4074,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.62008,                0.50954,                0.93625,                 0.7227,                0.68258,                0.68636,                0.56452,                 1.3397,                 1.4351,                 1.4063,             4.9677e-05,             4.9677e-05,             4.9677e-05
